item_id,item_type,title,category,color,brand,location,event_date,description,status,semantic_text
L037,LOST,Silver Textbook Book,Book,silver,Textbook,Main Library,3/17/2026,"Silver Textbook book handwritten notes inside, name written on first page.",OPEN,"Book silver Textbook Main Library Silver Textbook book handwritten notes inside, name written on first page."
L038,LOST,Black Adidas Jacket,Jacket,black,Adidas,Hostel Block B,3/3/2026,"Black Adidas jacket hood attached, zipper working.",OPEN,"Jacket black Adidas Hostel Block B Black Adidas jacket hood attached, zipper working."
L039,LOST,Red Textbook Book,Book,red,Textbook,Sports Ground,3/19/2026,"Red Textbook book handwritten notes inside, blue cover.",OPEN,"Book red Textbook Sports Ground Red Textbook book handwritten notes inside, blue cover."
L040,LOST,Blue Textbook Book,Book,blue,Textbook,Sports Ground,3/9/2026,"Blue Textbook book slightly folded corners, course material for AI.",OPEN,"Book blue Textbook Sports Ground Blue Textbook book slightly folded corners, course material for AI."
L041,LOST,Red Lenovo Laptop,Laptop,red,Lenovo,Bus Stop,3/21/2026,"Red Lenovo laptop slightly worn keyboard, small sticker on lid.",OPEN,"Laptop red Lenovo Bus Stop Red Lenovo laptop slightly worn keyboard, small sticker on lid."
L042,LOST,Silver Office Keys,Keys,silver,Office,Student Center,3/20/2026,"Silver Office keys attached to blue keyholder, includes car remote.",OPEN,"Keys silver Office Student Center Silver Office keys attached to blue keyholder, includes car remote."
L043,LOST,Blue Textbook Book,Book,blue,Textbook,Hostel Block B,3/5/2026,"Blue Textbook book blue cover, course material for AI.",OPEN,"Book blue Textbook Hostel Block B Blue Textbook book blue cover, course material for AI."
L044,LOST,Red AirPods Earbuds,Earbuds,red,AirPods,Cafeteria,3/15/2026,"Red AirPods earbuds white charging cable included, left bud slightly loose.",OPEN,"Earbuds red AirPods Cafeteria Red AirPods earbuds white charging cable included, left bud slightly loose."
L045,LOST,Black Puma Jacket,Jacket,black,Puma,Hostel Block B,3/5/2026,"Black Puma jacket left pocket slightly torn, hood attached.",OPEN,"Jacket black Puma Hostel Block B Black Puma jacket left pocket slightly torn, hood attached."
L046,LOST,Blue Toyota Keys,Keys,blue,Toyota,Hostel Block B,3/10/2026,"Blue Toyota keys three keys on ring, small metal tag.",OPEN,"Keys blue Toyota Hostel Block B Blue Toyota keys three keys on ring, small metal tag."
L047,LOST,Silver Notebook Book,Book,silver,Notebook,Computer Lab,3/9/2026,"Silver Notebook book course material for AI, name written on first page.",OPEN,"Book silver Notebook Computer Lab Silver Notebook book course material for AI, name written on first page."
L048,LOST,White Samsung Phone,Phone,white,Samsung,Bus Stop,3/11/2026,"White Samsung phone cracked screen, slightly scratched back.",OPEN,"Phone white Samsung Bus Stop White Samsung phone cracked screen, slightly scratched back."
L049,LOST,Brown HP Backpack,Backpack,brown,HP,Admin Block,3/18/2026,"Brown HP backpack slightly torn handle, side bottle holder.",OPEN,"Backpack brown HP Admin Block Brown HP backpack slightly torn handle, side bottle holder."
L050,LOST,Blue Samsung Phone,Phone,blue,Samsung,Lecture Room A1,3/12/2026,"Blue Samsung phone slightly scratched back, cracked screen.",OPEN,"Phone blue Samsung Lecture Room A1 Blue Samsung phone slightly scratched back, cracked screen."
L051,LOST,White Notebook Book,Book,white,Notebook,Lecture Room A1,3/12/2026,"White Notebook book handwritten notes inside, course material for AI.",OPEN,"Book white Notebook Lecture Room A1 White Notebook book handwritten notes inside, course material for AI."
L052,LOST,Red Tecno Phone,Phone,red,Tecno,Computer Lab,3/18/2026,"Red Tecno phone cracked screen, dual SIM.",OPEN,"Phone red Tecno Computer Lab Red Tecno phone cracked screen, dual SIM."
L053,LOST,Red HIT ID Card,ID Card,red,HIT,Lecture Room A1,3/1/2026,"Red HIT id card name visible on front, blue lanyard attached.",OPEN,"ID Card red HIT Lecture Room A1 Red HIT id card name visible on front, blue lanyard attached."
L054,LOST,White HP Backpack,Backpack,white,HP,Computer Lab,3/4/2026,"White HP backpack padded straps, contains notebook and charger.",OPEN,"Backpack white HP Computer Lab White HP backpack padded straps, contains notebook and charger."
L055,LOST,Gray UZ ID Card,ID Card,gray,UZ,Computer Lab,3/12/2026,"Gray UZ id card name visible on front, blue lanyard attached.",OPEN,"ID Card gray UZ Computer Lab Gray UZ id card name visible on front, blue lanyard attached."
L056,LOST,Red Honda Keys,Keys,red,Honda,Main Library,3/11/2026,"Red Honda keys three keys on ring, includes car remote.",OPEN,"Keys red Honda Main Library Red Honda keys three keys on ring, includes car remote."
L057,LOST,Green Toyota Keys,Keys,green,Toyota,Cafeteria,3/18/2026,"Green Toyota keys has red ribbon attached, includes car remote.",OPEN,"Keys green Toyota Cafeteria Green Toyota keys has red ribbon attached, includes car remote."
L058,LOST,Blue AirPods Earbuds,Earbuds,blue,AirPods,Bus Stop,3/2/2026,"Blue AirPods earbuds left bud slightly loose, white charging cable included.",OPEN,"Earbuds blue AirPods Bus Stop Blue AirPods earbuds left bud slightly loose, white charging cable included."
L059,LOST,Silver Puma Wallet,Wallet,silver,Puma,Cafeteria,3/13/2026,"Silver Puma wallet zip compartment inside, contains student ID.",OPEN,"Wallet silver Puma Cafeteria Silver Puma wallet zip compartment inside, contains student ID."
L060,LOST,Green Notebook Book,Book,green,Notebook,Main Library,3/17/2026,"Green Notebook book name written on first page, handwritten notes inside.",OPEN,"Book green Notebook Main Library Green Notebook book name written on first page, handwritten notes inside."
F001,FOUND,Found Wallet,Wallet,green,Levi's,Computer Lab,3/5/2026,Levi's wallet recovered at Computer Lab; green in color and seems to match a recent report.,OPEN,Wallet green Levi's Computer Lab Levi's wallet recovered at Computer Lab; green in color and seems to match a recent report.
F002,FOUND,Found Jacket,Jacket,white,Nike,Main Library,3/10/2026,"Found a white jacket near Main Library, likely Nike, matches description and appears recently misplaced.",OPEN,"Jacket white Nike Main Library Found a white jacket near Main Library, likely Nike, matches description and appears recently misplaced."
F003,FOUND,Found Laptop,Laptop,black,Asus,Hostel Block B,3/10/2026,Picked up a black Asus laptop around Hostel Block B. Item appears intact and may belong to a student.,OPEN,Laptop black Asus Hostel Block B Picked up a black Asus laptop around Hostel Block B. Item appears intact and may belong to a student.
F004,FOUND,Found Power Bank,Power Bank,black,Xiaomi,Lecture Room A1,3/11/2026,Picked up a black Xiaomi power bank around Lecture Room A1. Item appears intact and may belong to a student.,OPEN,Power Bank black Xiaomi Lecture Room A1 Picked up a black Xiaomi power bank around Lecture Room A1. Item appears intact and may belong to a student.
F005,FOUND,Found Backpack,Backpack,silver,Nike,Student Center,3/4/2026,Picked up a silver Nike backpack around Student Center. Item appears intact and may belong to a student.,OPEN,Backpack silver Nike Student Center Picked up a silver Nike backpack around Student Center. Item appears intact and may belong to a student.
F006,FOUND,Found Earbuds,Earbuds,green,Samsung,Main Library,3/15/2026,Picked up a green Samsung earbuds around Main Library. Item appears intact and may belong to a student.,OPEN,Earbuds green Samsung Main Library Picked up a green Samsung earbuds around Main Library. Item appears intact and may belong to a student.
F007,FOUND,Found Wallet,Wallet,silver,Generic,Parking Lot,3/4/2026,Picked up a silver Generic wallet around Parking Lot. Item appears intact and may belong to a student.,OPEN,Wallet silver Generic Parking Lot Picked up a silver Generic wallet around Parking Lot. Item appears intact and may belong to a student.
F008,FOUND,Found Laptop,Laptop,blue,Lenovo,Computer Lab,3/12/2026,Lenovo laptop recovered at Computer Lab; blue in color and seems to match a recent report.,OPEN,Laptop blue Lenovo Computer Lab Lenovo laptop recovered at Computer Lab; blue in color and seems to match a recent report.
F009,FOUND,Found Power Bank,Power Bank,brown,Xiaomi,Cafeteria,3/12/2026,Picked up a brown Xiaomi power bank around Cafeteria. Item appears intact and may belong to a student.,OPEN,Power Bank brown Xiaomi Cafeteria Picked up a brown Xiaomi power bank around Cafeteria. Item appears intact and may belong to a student.
F010,FOUND,Found Wallet,Wallet,red,Nike,Lecture Room A1,3/11/2026,Picked up a red Nike wallet around Lecture Room A1. Item appears intact and may belong to a student.,OPEN,Wallet red Nike Lecture Room A1 Picked up a red Nike wallet around Lecture Room A1. Item appears intact and may belong to a student.
F011,FOUND,Found Jacket,Jacket,silver,Adidas,Main Library,3/12/2026,"Found a silver jacket near Main Library, likely Adidas, matches description and appears recently misplaced.",OPEN,"Jacket silver Adidas Main Library Found a silver jacket near Main Library, likely Adidas, matches description and appears recently misplaced."
F012,FOUND,Found ID Card,ID Card,blue,MSU,Computer Lab,3/10/2026,Picked up a blue MSU id card around Computer Lab. Item appears intact and may belong to a student.,OPEN,ID Card blue MSU Computer Lab Picked up a blue MSU id card around Computer Lab. Item appears intact and may belong to a student.
F013,FOUND,Found Power Bank,Power Bank,gray,Itel,Lecture Room A1,3/11/2026,Picked up a gray Itel power bank around Lecture Room A1. Item appears intact and may belong to a student.,OPEN,Power Bank gray Itel Lecture Room A1 Picked up a gray Itel power bank around Lecture Room A1. Item appears intact and may belong to a student.
F014,FOUND,Found Jacket,Jacket,white,Puma,Parking Lot,3/9/2026,Picked up a white Puma jacket around Parking Lot. Item appears intact and may belong to a student.,OPEN,Jacket white Puma Parking Lot Picked up a white Puma jacket around Parking Lot. Item appears intact and may belong to a student.
F015,FOUND,Found Backpack,Backpack,gray,Samsonite,Student Center,3/7/2026,Samsonite backpack recovered at Student Center; gray in color and seems to match a recent report.,OPEN,Backpack gray Samsonite Student Center Samsonite backpack recovered at Student Center; gray in color and seems to match a recent report.
F016,FOUND,Found Backpack,Backpack,blue,Dell,Sports Ground,3/17/2026,Dell backpack recovered at Sports Ground; blue in color and seems to match a recent report.,OPEN,Backpack blue Dell Sports Ground Dell backpack recovered at Sports Ground; blue in color and seems to match a recent report.
F017,FOUND,Found Keys,Keys,blue,Toyota,Hostel Block B,3/6/2026,"Found a blue keys near Hostel Block B, likely Toyota, matches description and appears recently misplaced.",OPEN,"Keys blue Toyota Hostel Block B Found a blue keys near Hostel Block B, likely Toyota, matches description and appears recently misplaced."
F018,FOUND,Found Keys,Keys,brown,Office,Admin Block,3/20/2026,Picked up a brown Office keys around Admin Block. Item appears intact and may belong to a student.,OPEN,Keys brown Office Admin Block Picked up a brown Office keys around Admin Block. Item appears intact and may belong to a student.
F019,FOUND,Found Backpack,Backpack,blue,Samsonite,Bus Stop,3/7/2026,Samsonite backpack recovered at Bus Stop; blue in color and seems to match a recent report.,OPEN,Backpack blue Samsonite Bus Stop Samsonite backpack recovered at Bus Stop; blue in color and seems to match a recent report.
F020,FOUND,Found Earbuds,Earbuds,black,JBL,Parking Lot,3/4/2026,JBL earbuds recovered at Parking Lot; black in color and seems to match a recent report.,OPEN,Earbuds black JBL Parking Lot JBL earbuds recovered at Parking Lot; black in color and seems to match a recent report.
F021,FOUND,Found Wallet,Wallet,green,Generic,Computer Lab,3/20/2026,Picked up a green Generic wallet around Computer Lab. Item appears intact and may belong to a student.,OPEN,Wallet green Generic Computer Lab Picked up a green Generic wallet around Computer Lab. Item appears intact and may belong to a student.
F022,FOUND,Found Wallet,Wallet,gray,Levi's,Student Center,3/8/2026,Picked up a gray Levi's wallet around Student Center. Item appears intact and may belong to a student.,OPEN,Wallet gray Levi's Student Center Picked up a gray Levi's wallet around Student Center. Item appears intact and may belong to a student.
F023,FOUND,Found Power Bank,Power Bank,green,Anker,Hostel Block B,3/8/2026,Picked up a green Anker power bank around Hostel Block B. Item appears intact and may belong to a student.,OPEN,Power Bank green Anker Hostel Block B Picked up a green Anker power bank around Hostel Block B. Item appears intact and may belong to a student.
F024,FOUND,Found Jacket,Jacket,green,Adidas,Sports Ground,3/17/2026,Adidas jacket recovered at Sports Ground; green in color and seems to match a recent report.,OPEN,Jacket green Adidas Sports Ground Adidas jacket recovered at Sports Ground; green in color and seems to match a recent report.
F025,FOUND,Found Power Bank,Power Bank,red,Oraimo,Computer Lab,3/3/2026,"Found a red power bank near Computer Lab, likely Oraimo, matches description and appears recently misplaced.",OPEN,"Power Bank red Oraimo Computer Lab Found a red power bank near Computer Lab, likely Oraimo, matches description and appears recently misplaced."
F026,FOUND,Found Book,Book,red,Notebook,Main Library,3/9/2026,Picked up a red Notebook book around Main Library. Item appears intact and may belong to a student.,OPEN,Book red Notebook Main Library Picked up a red Notebook book around Main Library. Item appears intact and may belong to a student.
F027,FOUND,Found Wallet,Wallet,silver,Levi's,Student Center,3/11/2026,"Found a silver wallet near Student Center, likely Levi's, matches description and appears recently misplaced.",OPEN,"Wallet silver Levi's Student Center Found a silver wallet near Student Center, likely Levi's, matches description and appears recently misplaced."
F028,FOUND,Found Power Bank,Power Bank,brown,Anker,Parking Lot,3/9/2026,"Found a brown power bank near Parking Lot, likely Anker, matches description and appears recently misplaced.",OPEN,"Power Bank brown Anker Parking Lot Found a brown power bank near Parking Lot, likely Anker, matches description and appears recently misplaced."
F029,FOUND,Found Power Bank,Power Bank,red,Itel,Student Center,3/12/2026,"Found a red power bank near Student Center, likely Itel, matches description and appears recently misplaced.",OPEN,"Power Bank red Itel Student Center Found a red power bank near Student Center, likely Itel, matches description and appears recently misplaced."
F030,FOUND,Found ID Card,ID Card,gray,NUST,Main Library,3/14/2026,NUST id card recovered at Main Library; gray in color and seems to match a recent report.,OPEN,ID Card gray NUST Main Library NUST id card recovered at Main Library; gray in color and seems to match a recent report.
F031,FOUND,Found Earbuds,Earbuds,red,AirPods,Computer Lab,3/5/2026,AirPods earbuds recovered at Computer Lab; red in color and seems to match a recent report.,OPEN,Earbuds red AirPods Computer Lab AirPods earbuds recovered at Computer Lab; red in color and seems to match a recent report.
F032,FOUND,Found ID Card,ID Card,green,HIT,Admin Block,3/18/2026,Picked up a green HIT id card around Admin Block. Item appears intact and may belong to a student.,OPEN,ID Card green HIT Admin Block Picked up a green HIT id card around Admin Block. Item appears intact and may belong to a student.
F033,FOUND,Found Jacket,Jacket,black,Nike,Hostel Block B,3/9/2026,Picked up a black Nike jacket around Hostel Block B. Item appears intact and may belong to a student.,OPEN,Jacket black Nike Hostel Block B Picked up a black Nike jacket around Hostel Block B. Item appears intact and may belong to a student.
F034,FOUND,Found Backpack,Backpack,gray,Dell,Admin Block,3/5/2026,Dell backpack recovered at Admin Block; gray in color and seems to match a recent report.,OPEN,Backpack gray Dell Admin Block Dell backpack recovered at Admin Block; gray in color and seems to match a recent report.
F035,FOUND,Found Backpack,Backpack,black,Dell,Sports Ground,3/13/2026,"Found a black backpack near Sports Ground, likely Dell, matches description and appears recently misplaced.",OPEN,"Backpack black Dell Sports Ground Found a black backpack near Sports Ground, likely Dell, matches description and appears recently misplaced."
F036,FOUND,Found ID Card,ID Card,brown,NUST,Computer Lab,3/3/2026,Picked up a brown NUST id card around Computer Lab. Item appears intact and may belong to a student.,OPEN,ID Card brown NUST Computer Lab Picked up a brown NUST id card around Computer Lab. Item appears intact and may belong to a student.
F037,FOUND,Found Book,Book,silver,Textbook,Main Library,3/17/2026,"Found a silver book near Main Library, likely Textbook, matches description and appears recently misplaced.",OPEN,"Book silver Textbook Main Library Found a silver book near Main Library, likely Textbook, matches description and appears recently misplaced."
F038,FOUND,Found Jacket,Jacket,black,Adidas,Hostel Block B,3/6/2026,"Found a black jacket near Hostel Block B, likely Adidas, matches description and appears recently misplaced.",OPEN,"Jacket black Adidas Hostel Block B Found a black jacket near Hostel Block B, likely Adidas, matches description and appears recently misplaced."
F039,FOUND,Found Book,Book,red,Textbook,Sports Ground,3/20/2026,Picked up a red Textbook book around Sports Ground. Item appears intact and may belong to a student.,OPEN,Book red Textbook Sports Ground Picked up a red Textbook book around Sports Ground. Item appears intact and may belong to a student.
F040,FOUND,Found Book,Book,blue,Textbook,Sports Ground,3/12/2026,"Found a blue book near Sports Ground, likely Textbook, matches description and appears recently misplaced.",OPEN,"Book blue Textbook Sports Ground Found a blue book near Sports Ground, likely Textbook, matches description and appears recently misplaced."
F041,FOUND,Found Blue Jacket,Jacket,blue,Adidas,Admin Block,3/22/2026,Recovered blue Adidas jacket with zipper working and medium size.,OPEN,Jacket blue Adidas Admin Block Recovered blue Adidas jacket with zipper working and medium size.
F042,FOUND,Found Gray Jacket,Jacket,gray,Puma,Parking Lot,3/18/2026,Recovered gray Puma jacket with lightweight material and medium size.,OPEN,Jacket gray Puma Parking Lot Recovered gray Puma jacket with lightweight material and medium size.
F043,FOUND,Found Gray Power Bank,Power Bank,gray,Anker,Admin Block,3/21/2026,"Recovered gray Anker power bank with LED indicator working and 10,000mAh.",OPEN,"Power Bank gray Anker Admin Block Recovered gray Anker power bank with LED indicator working and 10,000mAh."
F044,FOUND,Found Red Keys,Keys,red,Office,Bus Stop,3/23/2026,Recovered red Office keys with includes car remote and attached to blue keyholder.,OPEN,Keys red Office Bus Stop Recovered red Office keys with includes car remote and attached to blue keyholder.
F045,FOUND,Found Green Keys,Keys,green,Honda,Cafeteria,3/5/2026,Recovered green Honda keys with small metal tag and attached to blue keyholder.,OPEN,Keys green Honda Cafeteria Recovered green Honda keys with small metal tag and attached to blue keyholder.
F046,FOUND,Found White Backpack,Backpack,white,Nike,Lecture Room A1,3/14/2026,Recovered white Nike backpack with contains notebook and charger and front zip pocket.,OPEN,Backpack white Nike Lecture Room A1 Recovered white Nike backpack with contains notebook and charger and front zip pocket.
F047,FOUND,Found Gray ID Card,ID Card,gray,MSU,Sports Ground,3/14/2026,Recovered gray MSU id card with student ID with lanyard and name visible on front.,OPEN,ID Card gray MSU Sports Ground Recovered gray MSU id card with student ID with lanyard and name visible on front.
F048,FOUND,Found White ID Card,ID Card,white,UZ,Admin Block,3/10/2026,Recovered white UZ id card with student ID with lanyard and inside transparent holder.,OPEN,ID Card white UZ Admin Block Recovered white UZ id card with student ID with lanyard and inside transparent holder.
F049,FOUND,Found Red ID Card,ID Card,red,NUST,Admin Block,3/14/2026,Recovered red NUST id card with name visible on front and inside transparent holder.,OPEN,ID Card red NUST Admin Block Recovered red NUST id card with name visible on front and inside transparent holder.
F050,FOUND,Found White Power Bank,Power Bank,white,Oraimo,Cafeteria,3/15/2026,"Recovered white Oraimo power bank with slim rectangular body and 10,000mAh.",OPEN,"Power Bank white Oraimo Cafeteria Recovered white Oraimo power bank with slim rectangular body and 10,000mAh."
F051,FOUND,Found Black Backpack,Backpack,black,Samsonite,Sports Ground,3/3/2026,Recovered black Samsonite backpack with slightly torn handle and front zip pocket.,OPEN,Backpack black Samsonite Sports Ground Recovered black Samsonite backpack with slightly torn handle and front zip pocket.
F052,FOUND,Found Gray ID Card,ID Card,gray,HIT,Lecture Room A1,3/13/2026,Recovered gray HIT id card with student ID with lanyard and inside transparent holder.,OPEN,ID Card gray HIT Lecture Room A1 Recovered gray HIT id card with student ID with lanyard and inside transparent holder.
F053,FOUND,Found Gray Earbuds,Earbuds,gray,JBL,Cafeteria,3/9/2026,Recovered gray JBL earbuds with white charging cable included and case has scratch marks.,OPEN,Earbuds gray JBL Cafeteria Recovered gray JBL earbuds with white charging cable included and case has scratch marks.
F054,FOUND,Found Blue ID Card,ID Card,blue,MSU,Admin Block,3/12/2026,Recovered blue MSU id card with student ID with lanyard and slightly bent corner.,OPEN,ID Card blue MSU Admin Block Recovered blue MSU id card with student ID with lanyard and slightly bent corner.
F055,FOUND,Found Black Laptop,Laptop,black,HP,Main Library,3/1/2026,Recovered black HP laptop with small sticker on lid and contains assignment files.,OPEN,Laptop black HP Main Library Recovered black HP laptop with small sticker on lid and contains assignment files.
F056,FOUND,Found Red Book,Book,red,Notebook,Lecture Room A1,3/19/2026,Recovered red Notebook book with name written on first page and handwritten notes inside.,OPEN,Book red Notebook Lecture Room A1 Recovered red Notebook book with name written on first page and handwritten notes inside.
